userId	geneSymbol	geneName	entrezgene	gLink
BLK	BLK	BLK proto-oncogene, Src family tyrosine kinase	640	https://www.ncbi.nlm.nih.gov/gene/?term=640
BMP2	BMP2	bone morphogenetic protein 2	650	https://www.ncbi.nlm.nih.gov/gene/?term=650
BMP6	BMP6	bone morphogenetic protein 6	654	https://www.ncbi.nlm.nih.gov/gene/?term=654
BMPR1A	BMPR1A	bone morphogenetic protein receptor type 1A	657	https://www.ncbi.nlm.nih.gov/gene/?term=657
BRAF	BRAF	B-Raf proto-oncogene, serine/threonine kinase	673	https://www.ncbi.nlm.nih.gov/gene/?term=673
BRF1	BRF1	BRF1, RNA polymerase III transcription initiation factor subunit	2972	https://www.ncbi.nlm.nih.gov/gene/?term=2972
BRI3	BRI3	brain protein I3	25798	https://www.ncbi.nlm.nih.gov/gene/?term=25798
BSG	BSG	basigin (Ok blood group)	682	https://www.ncbi.nlm.nih.gov/gene/?term=682
BUB1	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	699	https://www.ncbi.nlm.nih.gov/gene/?term=699
BUB1B	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	701	https://www.ncbi.nlm.nih.gov/gene/?term=701
CA2	CA2	carbonic anhydrase 2	760	https://www.ncbi.nlm.nih.gov/gene/?term=760
CACNB1	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1	782	https://www.ncbi.nlm.nih.gov/gene/?term=782
CACNB2	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	783	https://www.ncbi.nlm.nih.gov/gene/?term=783
CAD	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	790	https://www.ncbi.nlm.nih.gov/gene/?term=790
CALM1	CALM1	calmodulin 1	801	https://www.ncbi.nlm.nih.gov/gene/?term=801
CALR	CALR	calreticulin	811	https://www.ncbi.nlm.nih.gov/gene/?term=811
CAMK2B	CAMK2B	calcium/calmodulin dependent protein kinase II beta	816	https://www.ncbi.nlm.nih.gov/gene/?term=816
CAMK2G	CAMK2G	calcium/calmodulin dependent protein kinase II gamma	818	https://www.ncbi.nlm.nih.gov/gene/?term=818
CAMKK2	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2	10645	https://www.ncbi.nlm.nih.gov/gene/?term=10645
CAMKV	CAMKV	CaM kinase like vesicle associated	79012	https://www.ncbi.nlm.nih.gov/gene/?term=79012
CAMLG	CAMLG	calcium modulating ligand	819	https://www.ncbi.nlm.nih.gov/gene/?term=819
CAPG	CAPG	capping actin protein, gelsolin like	822	https://www.ncbi.nlm.nih.gov/gene/?term=822
CBFA2T3	CBFA2T3	CBFA2/RUNX1 translocation partner 3	863	https://www.ncbi.nlm.nih.gov/gene/?term=863
CCAR1	CCAR1	cell division cycle and apoptosis regulator 1	55749	https://www.ncbi.nlm.nih.gov/gene/?term=55749
CCNB1	CCNB1	cyclin B1	891	https://www.ncbi.nlm.nih.gov/gene/?term=891
CCNF	CCNF	cyclin F	899	https://www.ncbi.nlm.nih.gov/gene/?term=899
CD24	CD24	CD24 molecule	100133941	https://www.ncbi.nlm.nih.gov/gene/?term=100133941
CD46	CD46	CD46 molecule	4179	https://www.ncbi.nlm.nih.gov/gene/?term=4179
CD93	CD93	CD93 molecule	22918	https://www.ncbi.nlm.nih.gov/gene/?term=22918
CDC14A	CDC14A	cell division cycle 14A	8556	https://www.ncbi.nlm.nih.gov/gene/?term=8556
CDC42BPB	CDC42BPB	CDC42 binding protein kinase beta	9578	https://www.ncbi.nlm.nih.gov/gene/?term=9578
CDC42SE1	CDC42SE1	CDC42 small effector 1	56882	https://www.ncbi.nlm.nih.gov/gene/?term=56882
CDH1	CDH1	cadherin 1	999	https://www.ncbi.nlm.nih.gov/gene/?term=999
CDH17	CDH17	cadherin 17	1015	https://www.ncbi.nlm.nih.gov/gene/?term=1015
CDK10	CDK10	cyclin dependent kinase 10	8558	https://www.ncbi.nlm.nih.gov/gene/?term=8558
CDK8	CDK8	cyclin dependent kinase 8	1024	https://www.ncbi.nlm.nih.gov/gene/?term=1024
CENPH	CENPH	centromere protein H	64946	https://www.ncbi.nlm.nih.gov/gene/?term=64946
CFH	CFH	complement factor H	3075	https://www.ncbi.nlm.nih.gov/gene/?term=3075
CHD2	CHD2	chromodomain helicase DNA binding protein 2	1106	https://www.ncbi.nlm.nih.gov/gene/?term=1106
CHEK2	CHEK2	checkpoint kinase 2	11200	https://www.ncbi.nlm.nih.gov/gene/?term=11200
CHUK	CHUK	conserved helix-loop-helix ubiquitous kinase	1147	https://www.ncbi.nlm.nih.gov/gene/?term=1147
CIAO1	CIAO1	cytosolic iron-sulfur assembly component 1	9391	https://www.ncbi.nlm.nih.gov/gene/?term=9391
CIC	CIC	capicua transcriptional repressor	23152	https://www.ncbi.nlm.nih.gov/gene/?term=23152
CIRBP	CIRBP	cold inducible RNA binding protein	1153	https://www.ncbi.nlm.nih.gov/gene/?term=1153
CITED2	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	10370	https://www.ncbi.nlm.nih.gov/gene/?term=10370
CLIC2	CLIC2	chloride intracellular channel 2	1193	https://www.ncbi.nlm.nih.gov/gene/?term=1193
CLSTN3	CLSTN3	calsyntenin 3	9746	https://www.ncbi.nlm.nih.gov/gene/?term=9746
CNKSR2	CNKSR2	connector enhancer of kinase suppressor of Ras 2	22866	https://www.ncbi.nlm.nih.gov/gene/?term=22866
CNPY2	CNPY2	canopy FGF signaling regulator 2	10330	https://www.ncbi.nlm.nih.gov/gene/?term=10330
CNTN1	CNTN1	contactin 1	1272	https://www.ncbi.nlm.nih.gov/gene/?term=1272
CNTN4	CNTN4	contactin 4	152330	https://www.ncbi.nlm.nih.gov/gene/?term=152330
COL3A1	COL3A1	collagen type III alpha 1 chain	1281	https://www.ncbi.nlm.nih.gov/gene/?term=1281
COL4A6	COL4A6	collagen type IV alpha 6 chain	1288	https://www.ncbi.nlm.nih.gov/gene/?term=1288
COPS8	COPS8	COP9 signalosome subunit 8	10920	https://www.ncbi.nlm.nih.gov/gene/?term=10920
CORO1B	CORO1B	coronin 1B	57175	https://www.ncbi.nlm.nih.gov/gene/?term=57175
CRABP1	CRABP1	cellular retinoic acid binding protein 1	1381	https://www.ncbi.nlm.nih.gov/gene/?term=1381
CRB1	CRB1	crumbs cell polarity complex component 1	23418	https://www.ncbi.nlm.nih.gov/gene/?term=23418
CSE1L	CSE1L	chromosome segregation 1 like	1434	https://www.ncbi.nlm.nih.gov/gene/?term=1434
CSN3	CSN3	casein kappa	1448	https://www.ncbi.nlm.nih.gov/gene/?term=1448
CSNK1A1L	CSNK1A1L	casein kinase 1 alpha 1 like	122011	https://www.ncbi.nlm.nih.gov/gene/?term=122011
CTNNB1	CTNNB1	catenin beta 1	1499	https://www.ncbi.nlm.nih.gov/gene/?term=1499
CTNND2	CTNND2	catenin delta 2	1501	https://www.ncbi.nlm.nih.gov/gene/?term=1501
CTSA	CTSA	cathepsin A	5476	https://www.ncbi.nlm.nih.gov/gene/?term=5476
CUBN	CUBN	cubilin	8029	https://www.ncbi.nlm.nih.gov/gene/?term=8029
CUX1	CUX1	cut like homeobox 1	1523	https://www.ncbi.nlm.nih.gov/gene/?term=1523
CXCL10	CXCL10	C-X-C motif chemokine ligand 10	3627	https://www.ncbi.nlm.nih.gov/gene/?term=3627
CXCL11	CXCL11	C-X-C motif chemokine ligand 11	6373	https://www.ncbi.nlm.nih.gov/gene/?term=6373
CXCL13	CXCL13	C-X-C motif chemokine ligand 13	10563	https://www.ncbi.nlm.nih.gov/gene/?term=10563
CXCL9	CXCL9	C-X-C motif chemokine ligand 9	4283	https://www.ncbi.nlm.nih.gov/gene/?term=4283
DAPK3	DAPK3	death associated protein kinase 3	1613	https://www.ncbi.nlm.nih.gov/gene/?term=1613
DCC	DCC	DCC netrin 1 receptor	1630	https://www.ncbi.nlm.nih.gov/gene/?term=1630
DCTD	DCTD	dCMP deaminase	1635	https://www.ncbi.nlm.nih.gov/gene/?term=1635
DDIT3	DDIT3	DNA damage inducible transcript 3	1649	https://www.ncbi.nlm.nih.gov/gene/?term=1649
DEAF1	DEAF1	DEAF1 transcription factor	10522	https://www.ncbi.nlm.nih.gov/gene/?term=10522
DHRS2	DHRS2	dehydrogenase/reductase 2	10202	https://www.ncbi.nlm.nih.gov/gene/?term=10202
DLG3	DLG3	discs large MAGUK scaffold protein 3	1741	https://www.ncbi.nlm.nih.gov/gene/?term=1741
DLGAP5	DLGAP5	DLG associated protein 5	9787	https://www.ncbi.nlm.nih.gov/gene/?term=9787
DMD	DMD	dystrophin	1756	https://www.ncbi.nlm.nih.gov/gene/?term=1756
DNAH3	DNAH3	dynein axonemal heavy chain 3	55567	https://www.ncbi.nlm.nih.gov/gene/?term=55567
DNAJB9	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	4189	https://www.ncbi.nlm.nih.gov/gene/?term=4189
DNALI1	DNALI1	dynein axonemal light intermediate chain 1	7802	https://www.ncbi.nlm.nih.gov/gene/?term=7802
DPEP1	DPEP1	dipeptidase 1	1800	https://www.ncbi.nlm.nih.gov/gene/?term=1800
DSCAML1	DSCAML1	DS cell adhesion molecule like 1	57453	https://www.ncbi.nlm.nih.gov/gene/?term=57453
DSTN	DSTN	destrin, actin depolymerizing factor	11034	https://www.ncbi.nlm.nih.gov/gene/?term=11034
EDA	EDA	ectodysplasin A	1896	https://www.ncbi.nlm.nih.gov/gene/?term=1896
EEF2K	EEF2K	NA	29904	https://www.ncbi.nlm.nih.gov/gene/?term=29904
EFS	EFS	embryonal Fyn-associated substrate	10278	https://www.ncbi.nlm.nih.gov/gene/?term=10278
EGR1	EGR1	early growth response 1	1958	https://www.ncbi.nlm.nih.gov/gene/?term=1958
EIF2S2	EIF2S2	eukaryotic translation initiation factor 2 subunit beta	8894	https://www.ncbi.nlm.nih.gov/gene/?term=8894
EIF3D	EIF3D	eukaryotic translation initiation factor 3 subunit D	8664	https://www.ncbi.nlm.nih.gov/gene/?term=8664
EIF4G1	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	1981	https://www.ncbi.nlm.nih.gov/gene/?term=1981
ELK4	ELK4	ELK4, ETS transcription factor	2005	https://www.ncbi.nlm.nih.gov/gene/?term=2005
EP300	EP300	E1A binding protein p300	2033	https://www.ncbi.nlm.nih.gov/gene/?term=2033
EPHA3	EPHA3	EPH receptor A3	2042	https://www.ncbi.nlm.nih.gov/gene/?term=2042
EPHA7	EPHA7	EPH receptor A7	2045	https://www.ncbi.nlm.nih.gov/gene/?term=2045
EPHB6	EPHB6	EPH receptor B6	2051	https://www.ncbi.nlm.nih.gov/gene/?term=2051
EPM2A	EPM2A	EPM2A, laforin glucan phosphatase	7957	https://www.ncbi.nlm.nih.gov/gene/?term=7957
EPPK1	EPPK1	epiplakin 1	83481	https://www.ncbi.nlm.nih.gov/gene/?term=83481
ERBB4	ERBB4	erb-b2 receptor tyrosine kinase 4	2066	https://www.ncbi.nlm.nih.gov/gene/?term=2066
ERCC6	ERCC6	ERCC excision repair 6, chromatin remodeling factor	2074	https://www.ncbi.nlm.nih.gov/gene/?term=2074
ETS2	ETS2	NA	2114	https://www.ncbi.nlm.nih.gov/gene/?term=2114
EVC2	EVC2	EvC ciliary complex subunit 2	132884	https://www.ncbi.nlm.nih.gov/gene/?term=132884
EVL	EVL	Enah/Vasp-like	51466	https://www.ncbi.nlm.nih.gov/gene/?term=51466
EXOC4	EXOC4	exocyst complex component 4	60412	https://www.ncbi.nlm.nih.gov/gene/?term=60412
EXT2	EXT2	exostosin glycosyltransferase 2	2132	https://www.ncbi.nlm.nih.gov/gene/?term=2132
EYA4	EYA4	EYA transcriptional coactivator and phosphatase 4	2070	https://www.ncbi.nlm.nih.gov/gene/?term=2070
F5	F5	coagulation factor V	2153	https://www.ncbi.nlm.nih.gov/gene/?term=2153
FAS	FAS	Fas cell surface death receptor	355	https://www.ncbi.nlm.nih.gov/gene/?term=355
FBXO30	FBXO30	F-box protein 30	84085	https://www.ncbi.nlm.nih.gov/gene/?term=84085
FBXW7	FBXW7	F-box and WD repeat domain containing 7	55294	https://www.ncbi.nlm.nih.gov/gene/?term=55294
FCN1	FCN1	ficolin 1	2219	https://www.ncbi.nlm.nih.gov/gene/?term=2219
FCN2	FCN2	ficolin 2	2220	https://www.ncbi.nlm.nih.gov/gene/?term=2220
FERD3L	FERD3L	Fer3 like bHLH transcription factor	222894	https://www.ncbi.nlm.nih.gov/gene/?term=222894
FGFR3	FGFR3	fibroblast growth factor receptor 3	2261	https://www.ncbi.nlm.nih.gov/gene/?term=2261
FLCN	FLCN	folliculin	201163	https://www.ncbi.nlm.nih.gov/gene/?term=201163
FNIP1	FNIP1	folliculin interacting protein 1	96459	https://www.ncbi.nlm.nih.gov/gene/?term=96459
FNTA	FNTA	farnesyltransferase, CAAX box, alpha	2339	https://www.ncbi.nlm.nih.gov/gene/?term=2339
FNTB	FNTB	farnesyltransferase, CAAX box, beta	2342	https://www.ncbi.nlm.nih.gov/gene/?term=2342
FOXH1	FOXH1	forkhead box H1	8928	https://www.ncbi.nlm.nih.gov/gene/?term=8928
FOXJ3	FOXJ3	forkhead box J3	22887	https://www.ncbi.nlm.nih.gov/gene/?term=22887
FOXO1	FOXO1	forkhead box O1	2308	https://www.ncbi.nlm.nih.gov/gene/?term=2308
FZD4	FZD4	frizzled class receptor 4	8322	https://www.ncbi.nlm.nih.gov/gene/?term=8322
G3BP2	G3BP2	G3BP stress granule assembly factor 2	9908	https://www.ncbi.nlm.nih.gov/gene/?term=9908
GABPB1	GABPB1	GA binding protein transcription factor subunit beta 1	2553	https://www.ncbi.nlm.nih.gov/gene/?term=2553
GABRA6	GABRA6	gamma-aminobutyric acid type A receptor alpha6 subunit	2559	https://www.ncbi.nlm.nih.gov/gene/?term=2559
GALNS	GALNS	galactosamine (N-acetyl)-6-sulfatase	2588	https://www.ncbi.nlm.nih.gov/gene/?term=2588
GBP1	GBP1	guanylate binding protein 1	2633	https://www.ncbi.nlm.nih.gov/gene/?term=2633
GHRHR	GHRHR	growth hormone releasing hormone receptor	2692	https://www.ncbi.nlm.nih.gov/gene/?term=2692
GLI3	GLI3	GLI family zinc finger 3	2737	https://www.ncbi.nlm.nih.gov/gene/?term=2737
GNAS	GNAS	GNAS complex locus	2778	https://www.ncbi.nlm.nih.gov/gene/?term=2778
GRID2	GRID2	glutamate ionotropic receptor delta type subunit 2	2895	https://www.ncbi.nlm.nih.gov/gene/?term=2895
GRM1	GRM1	glutamate metabotropic receptor 1	2911	https://www.ncbi.nlm.nih.gov/gene/?term=2911
GSPT1	GSPT1	G1 to S phase transition 1	2935	https://www.ncbi.nlm.nih.gov/gene/?term=2935
GTF2B	GTF2B	general transcription factor IIB	2959	https://www.ncbi.nlm.nih.gov/gene/?term=2959
GTF3C5	GTF3C5	general transcription factor IIIC subunit 5	9328	https://www.ncbi.nlm.nih.gov/gene/?term=9328
GUCY1A2	GUCY1A2	guanylate cyclase 1 soluble subunit alpha 2	2977	https://www.ncbi.nlm.nih.gov/gene/?term=2977
GZMB	GZMB	granzyme B	3002	https://www.ncbi.nlm.nih.gov/gene/?term=3002
HAPLN1	HAPLN1	hyaluronan and proteoglycan link protein 1	1404	https://www.ncbi.nlm.nih.gov/gene/?term=1404
HAT1	HAT1	histone acetyltransferase 1	8520	https://www.ncbi.nlm.nih.gov/gene/?term=8520
HCFC1	HCFC1	host cell factor C1	3054	https://www.ncbi.nlm.nih.gov/gene/?term=3054
HES1	HES1	hes family bHLH transcription factor 1	3280	https://www.ncbi.nlm.nih.gov/gene/?term=3280
HEYL	HEYL	hes related family bHLH transcription factor with YRPW motif-like	26508	https://www.ncbi.nlm.nih.gov/gene/?term=26508
HIST1H1B	HIST1H1B	histone cluster 1 H1 family member b	3009	https://www.ncbi.nlm.nih.gov/gene/?term=3009
HLA-C	HLA-C	major histocompatibility complex, class I, C	3107	https://www.ncbi.nlm.nih.gov/gene/?term=3107
HMMR	HMMR	hyaluronan mediated motility receptor	3161	https://www.ncbi.nlm.nih.gov/gene/?term=3161
HPS3	HPS3	HPS3, biogenesis of lysosomal organelles complex 2 subunit 1	84343	https://www.ncbi.nlm.nih.gov/gene/?term=84343
HR	HR	HR, lysine demethylase and nuclear receptor corepressor	55806	https://www.ncbi.nlm.nih.gov/gene/?term=55806
HTR5A	HTR5A	5-hydroxytryptamine receptor 5A	3361	https://www.ncbi.nlm.nih.gov/gene/?term=3361
IDO1	IDO1	indoleamine 2,3-dioxygenase 1	3620	https://www.ncbi.nlm.nih.gov/gene/?term=3620
IER3IP1	IER3IP1	immediate early response 3 interacting protein 1	51124	https://www.ncbi.nlm.nih.gov/gene/?term=51124
IFT172	IFT172	intraflagellar transport 172	26160	https://www.ncbi.nlm.nih.gov/gene/?term=26160
IGFBP1	IGFBP1	insulin like growth factor binding protein 1	3484	https://www.ncbi.nlm.nih.gov/gene/?term=3484
IGFBP3	IGFBP3	insulin like growth factor binding protein 3	3486	https://www.ncbi.nlm.nih.gov/gene/?term=3486
IL6ST	IL6ST	interleukin 6 signal transducer	3572	https://www.ncbi.nlm.nih.gov/gene/?term=3572
INSIG2	INSIG2	insulin induced gene 2	51141	https://www.ncbi.nlm.nih.gov/gene/?term=51141
IRAK3	IRAK3	interleukin 1 receptor associated kinase 3	11213	https://www.ncbi.nlm.nih.gov/gene/?term=11213
IRS4	IRS4	insulin receptor substrate 4	8471	https://www.ncbi.nlm.nih.gov/gene/?term=8471
ITM2A	ITM2A	integral membrane protein 2A	9452	https://www.ncbi.nlm.nih.gov/gene/?term=9452
JAKMIP1	JAKMIP1	janus kinase and microtubule interacting protein 1	152789	https://www.ncbi.nlm.nih.gov/gene/?term=152789
KALRN	KALRN	kalirin RhoGEF kinase	8997	https://www.ncbi.nlm.nih.gov/gene/?term=8997
KCNAB1	KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1	7881	https://www.ncbi.nlm.nih.gov/gene/?term=7881
KCND3	KCND3	potassium voltage-gated channel subfamily D member 3	3752	https://www.ncbi.nlm.nih.gov/gene/?term=3752
KCNQ5	KCNQ5	potassium voltage-gated channel subfamily Q member 5	56479	https://www.ncbi.nlm.nih.gov/gene/?term=56479
KDR	KDR	kinase insert domain receptor	3791	https://www.ncbi.nlm.nih.gov/gene/?term=3791
KIT	KIT	KIT proto-oncogene receptor tyrosine kinase	3815	https://www.ncbi.nlm.nih.gov/gene/?term=3815
KITLG	KITLG	KIT ligand	4254	https://www.ncbi.nlm.nih.gov/gene/?term=4254
KLF5	KLF5	Kruppel like factor 5	688	https://www.ncbi.nlm.nih.gov/gene/?term=688
KRAS	KRAS	KRAS proto-oncogene, GTPase	3845	https://www.ncbi.nlm.nih.gov/gene/?term=3845
KRT20	KRT20	keratin 20	54474	https://www.ncbi.nlm.nih.gov/gene/?term=54474
LAMB3	LAMB3	laminin subunit beta 3	3914	https://www.ncbi.nlm.nih.gov/gene/?term=3914
LAMC1	LAMC1	laminin subunit gamma 1	3915	https://www.ncbi.nlm.nih.gov/gene/?term=3915
LAT	LAT	linker for activation of T cells	27040	https://www.ncbi.nlm.nih.gov/gene/?term=27040
LDB1	LDB1	LIM domain binding 1	8861	https://www.ncbi.nlm.nih.gov/gene/?term=8861
LDLRAP1	LDLRAP1	low density lipoprotein receptor adaptor protein 1	26119	https://www.ncbi.nlm.nih.gov/gene/?term=26119
LEF1	LEF1	lymphoid enhancer binding factor 1	51176	https://www.ncbi.nlm.nih.gov/gene/?term=51176
LIFR	LIFR	LIF receptor alpha	3977	https://www.ncbi.nlm.nih.gov/gene/?term=3977
LIG1	LIG1	DNA ligase 1	3978	https://www.ncbi.nlm.nih.gov/gene/?term=3978
LIG3	LIG3	DNA ligase 3	3980	https://www.ncbi.nlm.nih.gov/gene/?term=3980
LMO7	LMO7	LIM domain 7	4008	https://www.ncbi.nlm.nih.gov/gene/?term=4008
LRP1	LRP1	LDL receptor related protein 1	4035	https://www.ncbi.nlm.nih.gov/gene/?term=4035
LRP2	LRP2	LDL receptor related protein 2	4036	https://www.ncbi.nlm.nih.gov/gene/?term=4036
LRRC47	LRRC47	leucine rich repeat containing 47	57470	https://www.ncbi.nlm.nih.gov/gene/?term=57470
LZTS2	LZTS2	leucine zipper tumor suppressor 2	84445	https://www.ncbi.nlm.nih.gov/gene/?term=84445
MAD2L1	MAD2L1	mitotic arrest deficient 2 like 1	4085	https://www.ncbi.nlm.nih.gov/gene/?term=4085
MAP1B	MAP1B	microtubule associated protein 1B	4131	https://www.ncbi.nlm.nih.gov/gene/?term=4131
MAP2	MAP2	microtubule associated protein 2	4133	https://www.ncbi.nlm.nih.gov/gene/?term=4133
MAP2K3	MAP2K3	mitogen-activated protein kinase kinase 3	5606	https://www.ncbi.nlm.nih.gov/gene/?term=5606
MAP2K4	MAP2K4	mitogen-activated protein kinase kinase 4	6416	https://www.ncbi.nlm.nih.gov/gene/?term=6416
MAP2K7	MAP2K7	mitogen-activated protein kinase kinase 7	5609	https://www.ncbi.nlm.nih.gov/gene/?term=5609
MAPK9	MAPK9	mitogen-activated protein kinase 9	5601	https://www.ncbi.nlm.nih.gov/gene/?term=5601
MARK4	MARK4	microtubule affinity regulating kinase 4	57787	https://www.ncbi.nlm.nih.gov/gene/?term=57787
MATK	MATK	megakaryocyte-associated tyrosine kinase	4145	https://www.ncbi.nlm.nih.gov/gene/?term=4145
MCC	MCC	MCC, WNT signaling pathway regulator	4163	https://www.ncbi.nlm.nih.gov/gene/?term=4163
MCF2L2	MCF2L2	MCF.2 cell line derived transforming sequence-like 2	23101	https://www.ncbi.nlm.nih.gov/gene/?term=23101
MCM3AP	MCM3AP	minichromosome maintenance complex component 3 associated protein	8888	https://www.ncbi.nlm.nih.gov/gene/?term=8888
MCRS1	MCRS1	microspherule protein 1	10445	https://www.ncbi.nlm.nih.gov/gene/?term=10445
METTL9	METTL9	methyltransferase like 9	51108	https://www.ncbi.nlm.nih.gov/gene/?term=51108
MGP	MGP	matrix Gla protein	4256	https://www.ncbi.nlm.nih.gov/gene/?term=4256
MITD1	MITD1	microtubule interacting and trafficking domain containing 1	129531	https://www.ncbi.nlm.nih.gov/gene/?term=129531
MKRN3	MKRN3	makorin ring finger protein 3	7681	https://www.ncbi.nlm.nih.gov/gene/?term=7681
MLF2	MLF2	myeloid leukemia factor 2	8079	https://www.ncbi.nlm.nih.gov/gene/?term=8079
MLH1	MLH1	mutL homolog 1	4292	https://www.ncbi.nlm.nih.gov/gene/?term=4292
MLH3	MLH3	mutL homolog 3	27030	https://www.ncbi.nlm.nih.gov/gene/?term=27030
MMP13	MMP13	matrix metallopeptidase 13	4322	https://www.ncbi.nlm.nih.gov/gene/?term=4322
